2020-09-01T00:00:07.279Z,157.119.215.109,4.87.137.148,176,UDP
2020-09-01T00:00:16.613Z,40.231.41.85,86.118.45.232,243,UDP
2020-09-01T00:01:50.115Z,84.5.209.5,173.49.76.106,544,UDP
2020-09-01T00:02:21.172Z,31.11.51.109,173.49.76.106,440,TCP
2020-09-01T00:03:33.430Z,87.89.47.104,87.227.141.178,1359,TCP
2020-09-01T00:05:10.396Z,56.0.100.254,159.149.149.200,346,UDP
2020-09-01T00:05:42.387Z,162.81.219.228,120.23.99.179,442,TCP
2020-09-01T00:06:08.961Z,8.83.171.215,219.42.203.228,858,TCP
2020-09-01T00:06:17.672Z,30.27.80.238,144.23.60.72,172,TCP
2020-09-01T00:06:49.571Z,161.142.14.112,150.248.226.183,601,TCP
2020-09-01T00:07:54.171Z,166.78.100.253,158.154.7.116,800,UDP
2020-09-01T00:08:07.123Z,98.30.173.192,4.87.137.148,834,UDP
2020-09-01T00:08:51.371Z,127.244.80.156,159.149.149.200,1231,UDP
2020-09-01T00:09:58.455Z,143.215.247.154,4.87.137.148,1450,TCP
2020-09-01T00:10:28.167Z,98.243.28.84,144.23.60.72,1278,TCP
2020-09-01T00:10:38.292Z,178.207.92.108,144.23.60.72,568,TCP
2020-09-01T00:11:24.983Z,93.170.137.211,4.87.137.148,655,UDP
2020-09-01T00:12:08.456Z,22.4.200.129,150.248.226.183,545,UDP
2020-09-01T00:13:15.763Z,41.146.150.159,58.103.133.150,1289,UDP
2020-09-01T00:14:16.770Z,52.227.36.181,4.87.137.148,640,UDP
2020-09-01T00:14:37.941Z,102.160.128.160,120.23.99.179,585,TCP
2020-09-01T00:16:13.222Z,142.249.113.111,159.149.149.200,1303,TCP
2020-09-01T00:17:35.027Z,222.230.115.213,159.149.149.200,1347,TCP
2020-09-01T00:18:29.480Z,130.9.232.204,173.49.76.106,968,TCP
2020-09-01T00:18:37.785Z,123.176.203.22,117.18.165.228,170,TCP
2020-09-01T00:19:16.261Z,142.190.144.131,21.203.137.96,76,TCP
2020-09-01T00:19:30.293Z,176.146.28.47,4.87.137.148,919,TCP
2020-09-01T00:19:31.331Z,32.148.46.87,173.49.76.106,973,TCP
2020-09-01T00:19:33.458Z,8.83.171.215,21.203.137.96,160,UDP
2020-09-01T00:20:27.147Z,74.220.13.175,87.227.141.178,537,TCP
2020-09-01T00:22:01.893Z,127.47.33.223,120.23.99.179,298,TCP
2020-09-01T00:23:12.159Z,82.82.96.21,4.87.137.148,697,TCP
2020-09-01T00:23:36.562Z,82.24.27.94,173.49.76.106,911,UDP
2020-09-01T00:24:55.481Z,127.47.33.223,117.18.165.228,516,TCP
2020-09-01T00:25:58.125Z,47.197.181.209,173.49.76.106,538,TCP
2020-09-01T00:26:39.842Z,191.159.191.70,173.49.76.106,705,TCP
2020-09-01T00:27:23.653Z,219.165.174.49,104.68.220.1,1301,UDP
2020-09-01T00:27:46.033Z,211.194.77.47,4.87.137.148,634,TCP
2020-09-01T00:29:21.692Z,40.68.220.82,4.87.137.148,863,UDP
2020-09-01T00:29:46.346Z,222.230.115.213,87.227.141.178,422,TCP
2020-09-01T00:30:18.615Z,43.17.135.208,4.87.137.148,87,UDP
2020-09-01T00:31:23.921Z,197.106.171.19,87.227.141.178,1073,TCP
2020-09-01T00:32:58.920Z,8.166.159.121,158.154.7.116,741,UDP
2020-09-01T00:33:29.216Z,153.1.68.84,173.49.76.106,949,UDP
2020-09-01T00:34:44.866Z,68.108.93.124,150.248.226.183,436,TCP
2020-09-01T00:35:02.766Z,38.68.204.127,173.49.76.106,1271,TCP
2020-09-01T00:35:04.087Z,147.252.92.34,21.203.137.96,197,UDP
2020-09-01T00:35:46.366Z,14.44.223.120,87.227.141.178,878,UDP
2020-09-01T00:36:26.090Z,19.237.121.116,150.248.226.183,25,UDP
2020-09-01T00:37:31.680Z,76.172.237.61,159.149.149.200,704,TCP
2020-09-01T00:37:36.043Z,62.55.195.140,173.49.76.106,1089,UDP
2020-09-01T00:37:53.922Z,213.198.153.222,104.68.220.1,752,TCP
2020-09-01T00:38:32.203Z,178.207.92.108,144.23.60.72,1204,UDP
2020-09-01T00:39:28.803Z,47.100.200.10,159.149.149.200,324,UDP
2020-09-01T00:40:27.050Z,166.75.247.115,150.248.226.183,876,UDP
2020-09-01T00:40:31.236Z,116.120.203.84,173.49.76.106,867,UDP
2020-09-01T00:40:58.922Z,223.115.31.143,86.118.45.232,1453,UDP
2020-09-01T00:41:09.076Z,191.159.191.70,173.49.76.106,1337,TCP
2020-09-01T00:42:20.407Z,107.138.252.143,117.18.165.228,669,TCP
2020-09-01T00:43:44.966Z,192.99.92.66,87.227.141.178,484,UDP
2020-09-01T00:44:40.316Z,101.46.192.42,150.248.226.183,563,UDP
2020-09-01T00:46:02.245Z,65.9.30.213,158.154.7.116,1425,TCP
2020-09-01T00:46:53.044Z,133.165.81.37,4.87.137.148,1121,TCP
2020-09-01T00:47:23.631Z,73.3.242.134,144.23.60.72,1050,TCP
2020-09-01T00:47:25.874Z,81.142.224.23,21.203.137.96,893,TCP
2020-09-01T00:48:01.841Z,131.86.66.214,58.103.133.150,1430,UDP
2020-09-01T00:48:45.009Z,105.198.138.119,117.18.165.228,71,TCP
2020-09-01T00:49:18.451Z,43.17.135.208,58.103.133.150,655,UDP
2020-09-01T00:49:51.867Z,120.7.210.21,104.68.220.1,748,TCP
2020-09-01T00:50:47.398Z,220.146.205.36,150.248.226.183,851,UDP
2020-09-01T00:50:53.149Z,60.223.61.125,117.18.165.228,81,UDP
2020-09-01T00:51:35.375Z,215.236.120.121,159.149.149.200,1190,UDP
2020-09-01T00:52:18.694Z,41.13.167.161,159.149.149.200,1069,TCP
2020-09-01T00:52:39.440Z,171.0.236.55,86.118.45.232,1231,TCP
2020-09-01T00:52:42.524Z,102.28.31.252,21.203.137.96,503,TCP
2020-09-01T00:52:49.144Z,106.118.105.75,173.49.76.106,214,TCP
2020-09-01T00:53:40.002Z,41.13.167.161,159.149.149.200,869,UDP
2020-09-01T00:54:14.467Z,112.253.182.168,117.18.165.228,1255,UDP
2020-09-01T00:55:32.037Z,171.186.72.105,21.203.137.96,899,TCP
2020-09-01T00:56:35.683Z,20.218.4.229,173.49.76.106,1111,TCP
2020-09-01T00:56:42.601Z,74.29.228.208,117.18.165.228,1228,UDP
2020-09-01T00:57:33.459Z,152.237.208.163,144.23.60.72,704,UDP
2020-09-01T00:58:08.444Z,161.75.224.199,4.87.137.148,68,TCP
2020-09-01T00:58:56.834Z,29.66.166.66,173.49.76.106,365,UDP
2020-09-01T00:59:41.861Z,219.123.156.246,159.149.149.200,844,UDP
2020-09-01T01:00:14.572Z,136.156.162.149,173.49.76.106,36,TCP
2020-09-01T01:00:33.601Z,109.54.14.209,4.87.137.148,105,UDP
2020-09-01T01:00:36.073Z,60.165.155.147,173.49.76.106,33,UDP
2020-09-01T01:01:27.879Z,143.180.174.19,120.23.99.179,156,UDP
2020-09-01T01:01:35.516Z,17.5.4.110,21.203.137.96,1372,UDP
2020-09-01T01:02:04.987Z,131.106.106.223,4.87.137.148,503,UDP
2020-09-01T01:02:40.012Z,145.65.212.221,104.68.220.1,841,TCP
2020-09-01T01:03:35.441Z,38.75.127.172,159.149.149.200,923,TCP
2020-09-01T01:04:55.262Z,160.96.200.164,21.203.137.96,577,UDP
2020-09-01T01:05:55.370Z,15.91.241.243,4.87.137.148,386,TCP
2020-09-01T01:07:18.507Z,155.24.37.102,58.103.133.150,1482,TCP
2020-09-01T01:08:07.603Z,188.84.124.140,144.23.60.72,510,TCP
2020-09-01T01:08:45.072Z,38.77.181.40,173.49.76.106,579,TCP
2020-09-01T01:09:48.051Z,130.87.95.252,4.87.137.148,764,UDP
2020-09-01T01:10:19.131Z,86.172.225.255,144.23.60.72,782,TCP
2020-09-01T01:10:39.648Z,222.202.66.160,117.18.165.228,434,TCP
2020-09-01T01:11:13.025Z,33.148.240.216,4.87.137.148,842,TCP
2020-09-01T01:12:07.836Z,126.62.219.46,104.68.220.1,409,UDP
2020-09-01T01:12:48.064Z,120.113.151.253,144.23.60.72,255,UDP
2020-09-01T01:13:47.064Z,36.27.98.150,117.18.165.228,721,UDP
2020-09-01T01:13:57.082Z,169.85.32.116,4.87.137.148,234,TCP
2020-09-01T01:13:59.046Z,118.120.36.113,21.203.137.96,680,TCP
2020-09-01T01:14:10.031Z,161.98.43.250,87.227.141.178,432,UDP
2020-09-01T01:15:40.054Z,54.220.148.228,144.23.60.72,882,TCP
2020-09-01T01:16:28.094Z,144.27.59.110,150.248.226.183,1382,TCP
2020-09-01T01:18:05.767Z,175.67.97.226,4.87.137.148,216,TCP
2020-09-01T01:19:40.660Z,47.197.181.209,117.18.165.228,440,UDP
2020-09-01T01:20:18.832Z,81.179.46.28,144.23.60.72,1416,TCP
2020-09-01T01:21:03.379Z,96.51.192.41,173.49.76.106,45,UDP
2020-09-01T01:22:10.787Z,58.242.71.212,150.248.226.183,762,TCP
2020-09-01T01:23:04.571Z,201.187.249.174,173.49.76.106,382,UDP
2020-09-01T01:23:09.520Z,196.252.34.238,4.87.137.148,488,TCP
2020-09-01T01:23:29.887Z,208.215.21.201,4.87.137.148,224,UDP
2020-09-01T01:24:37.936Z,187.41.0.83,144.23.60.72,162,TCP
2020-09-01T01:25:52.404Z,36.155.91.126,4.87.137.148,878,TCP
